,name,value,description
0,yarn.app.mapreduce.client-am.ipc.max-retries,1466255778,"The number of client retries to the AM - before reconnecting
    to the RM to fetch Application Status.
    In other words, it is the ipc.client.connect.max.retries to be used during
    reconnecting to the RM and fetching Application Status."
1,dfs.datanode.network.counts.cache.max.size,2147483647,"The maximum number of entries the datanode per-host network error
    count cache may contain."
2,ipc.[port_number].weighted-cost.lockshared,10,"The weight multiplier to apply to the time spent in the
    processing phase which holds a shared (read) lock.
    This property applies to WeightedTimeCostProvider."
3,mapreduce.job.max.split.locations,15,"The max number of block locations to store for each split for
    locality calculation."
4,dfs.client.deadnode.detection.probe.suspectnode.threads,10,The maximum number of threads to use for probing suspect node.
5,dfs.edit.log.transfer.bandwidthPerSec,0,"Maximum bandwidth used for transferring edit log to between journal nodes
    for syncing, in bytes per second.
    A default value of 0 indicates that throttling is disabled."
6,dfs.mover.retry.max.attempts,10,"The maximum number of retries before the mover consider the
    move failed."
7,yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,3600,
8,mapreduce.job.maps,2,"The default number of map tasks per job.
  Ignored when mapreduce.framework.name is ""local""."
9,dfs.block.misreplication.processing.limit,10000,Maximum number of blocks to process for initializing replication queues.
