,name,value,description
0,io.file.buffer.size,-4096,"The size of buffer for use in sequence files.
  The size of this buffer should probably be a multiple of hardware
  page size (4096 on Intel x86), and it determines how much data is
  buffered during read and write operations."
1,yarn.sharedcache.client-server.thread-count,50,
2,mapreduce.task.userlog.limit.kb,0,The maximum size of user-logs of each task in KB. 0 disables the cap.
3,yarn.router.pipeline.cache-max-size,25,
4,mapreduce.jobhistory.intermediate-user-done-dir.permissions,770,"The permissions of the user directories in
  ${mapreduce.jobhistory.intermediate-done-dir}. The user and the group
  permission must be 7, this is enforced."
5,fs.s3a.connection.establish.timeout,5000,Socket connection setup timeout in milliseconds.
6,yarn.resourcemanager.delegation.key.update-interval,86400000,
7,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,20,
8,mapreduce.task.timeout,600000,"The number of milliseconds before a task will be
  terminated if it neither reads an input, writes an output, nor
  updates its status string.  A value of 0 disables the timeout."
9,dfs.datanode.directoryscan.threads,1,"How many threads should the threadpool used to compile reports
  for volumes in parallel have."
