,name,value,description
0,yarn.timeline-service.client.retry-interval-ms,hSPiR,
1,yarn.nodemanager.health-checker.timeout-ms,1200000,
2,dfs.batched.ls.limit,100,"Limit the number of paths that can be listed in a single batched
    listing call. printed by ls. If less or equal to
    zero, at most DFS_LIST_LIMIT_DEFAULT (= 1000) will be printed."
3,dfs.qjournal.start-segment.timeout.ms,20000,Quorum timeout in milliseconds for starting a log segment.
4,dfs.blockreport.incremental.intervalMsec,0,"If set to a positive integer, the value in ms to wait between sending
    incremental block reports from the Datanode to the Namenode."
5,tfile.fs.output.buffer.size,262144,Buffer size used for FSDataOutputStream in bytes.
6,dfs.client.deadnode.detection.probe.suspectnode.threads,10,The maximum number of threads to use for probing suspect node.
7,dfs.storage.policy.satisfier.retry.max.attempts,3,"Max retry to satisfy the block storage policy. After this retry block will be removed
    from the movement needed queue."
8,yarn.nodemanager.logaggregation.threadpool-size-max,100,
9,dfs.namenode.storage.dir.perm,700,"Permissions for the directories on on the local filesystem where
      the DFS namenode stores the fsImage. The permissions can either be
      octal or symbolic."
