,name,value,description
0,yarn.app.mapreduce.client-am.ipc.max-retries,429956113,"The number of client retries to the AM - before reconnecting
    to the RM to fetch Application Status.
    In other words, it is the ipc.client.connect.max.retries to be used during
    reconnecting to the RM and fetching Application Status."
1,mapreduce.task.io.sort.factor,10,"The number of streams to merge at once while sorting
  files.  This determines the number of open file handles."
2,dfs.datanode.ec.reconstruction.stripedread.buffer.size,65536,Datanode striped read buffer size.
3,dfs.disk.balancer.max.disk.errors,5,"During a block move from a source to destination disk, we might
      encounter various errors. This defines how many errors we can tolerate
      before we declare a move between 2 disks (or a step) has failed."
4,nfs.server.port,2049,Specify the port number used by Hadoop NFS.
5,dfs.namenode.block.deletion.increment,1000,"The number of block deletion increment.
      This setting will control the block increment deletion rate to
      ensure that other waiters on the lock can get in."
6,dfs.encrypt.data.transfer.cipher.key.bitlength,128,"The key bitlength negotiated by dfsclient and datanode for encryption.
    This value may be set to either 128, 192 or 256."
7,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,1200000,
8,mapreduce.client.submit.file.replication,10,"The replication level for submitted job files.  This
  should be around the square root of the number of nodes."
9,yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,10485760,
