,name,value,description
0,dfs.mover.moverThreads,,Configure the balancer's mover thread pool size.
1,dfs.ha.tail-edits.namenode-retries,3,Number of retries to use when contacting the namenode when tailing the log.
2,dfs.namenode.name.cache.threshold,10,"Frequently accessed files that are accessed more times than this
    threshold are cached in the FSDirectory nameCache."
3,mapreduce.shuffle.pathcache.concurrency-level,16,"Uses the concurrency level to create a fixed number of hashtable
    segments, each governed by its own write lock."
4,hadoop.security.dns.log-slow-lookups.threshold.ms,1000,"If slow lookup logging is enabled, this threshold is used to decide if a
    lookup is considered slow enough to be logged."
5,mapreduce.job.speculative.retry-after-no-speculate,1000,"The waiting time(ms) to do next round of speculation
  if there is no task speculated in this round."
6,yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,10,
7,dfs.datanode.http.internal-proxy.port,0,"The datanode's internal web proxy port.
    By default it selects a random port available in runtime."
8,dfs.datanode.slowpeer.low.threshold.ms,5,Threshold in milliseconds below which a DataNode is definitely not slow.
9,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,0,
