,name,value,description
0,io.bytes.per.checksum,,"The number of bytes per checksum.  Must not be larger than
  io.file.buffer.size."
1,hadoop.security.kms.client.encrypted.key.cache.expiry,43200000,"Cache expiry time for a Key, after which the cache Queue for this
    key will be dropped. Default = 12hrs"
2,dfs.namenode.top.num.users,10,Number of top users returned by the top tool
3,dfs.client.read.shortcircuit.streams.cache.expiry.ms,300000,"This controls the minimum amount of time
    file descriptors need to sit in the client cache context
    before they can be closed for being inactive for too long."
4,yarn.timeline-service.leveldb-timeline-store.read-cache-size,104857600,
5,dfs.client.deadnode.detection.probe.deadnode.interval.ms,60000,Interval time in milliseconds for probing dead node behavior.
6,hadoop.http.authentication.token.validity,36000,"Indicates how long (in seconds) an authentication token is valid before it has
    to be renewed."
7,dfs.client.cached.conn.retry,3,"The number of times the HDFS client will pull a socket from the
   cache.  Once this number is exceeded, the client will try to create a new
   socket."
8,yarn.resourcemanager.epoch.range,0,
9,yarn.nodemanager.elastic-memory-control.timeout-sec,5,
