,name,value,description
0,hadoop.log.dir,,
1,dfs.qjournal.get-journal-state.timeout.ms,120000,"Timeout in milliseconds when calling getJournalState().
    JournalNodes."
2,fs.df.interval,60000,Disk usage statistics refresh interval in msec.
3,mapreduce.shuffle.pathcache.max-weight,10485760,The maximum total weight of entries the cache may contain.
4,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,0,"Maximum bandwidth used for transferring image to bootstrap standby
      namenode, in bytes per second.
      A default value of 0 indicates that throttling is disabled. This default
      value should be used in most cases, to ensure timely HA operations.
      The maximum bandwidth used for regular image transfers is configured
      with dfs.image.transfer.bandwidthPerSec.
      Support multiple size unit suffix(case insensitive), as described in
      dfs.blocksize."
5,dfs.datanode.fsdatasetasyncdisk.max.threads.per.volume,4,"The maximum number of threads per volume used to process async disk
    operations on the datanode. These threads consume I/O and CPU at the
    same time. This will affect normal data node operations."
6,yarn.resourcemanager.proxy.connection.timeout,60000,
7,mapreduce.task.io.sort.factor,10,"The number of streams to merge at once while sorting
  files.  This determines the number of open file handles."
8,httpfs.buffer.size,4096,The size buffer to be used when creating or opening httpfs filesystem IO stream.
9,yarn.nodemanager.localizer.cache.cleanup.interval-ms,600000,
