,name,value,description
0,hadoop.registry.zk.retry.times,,Zookeeper connection retry count before failing
1,dfs.client.write.max-packets-in-flight,80,The maximum number of DFSPackets allowed in flight.
2,yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-timeout-interval-secs,360,
3,fs.s3a.list.version,2,"Select which version of the S3 SDK's List Objects API to use.  Currently
    support 2 (default) and 1 (older API)."
4,dfs.datanode.directoryscan.threads,1,"How many threads should the threadpool used to compile reports
  for volumes in parallel have."
5,mapreduce.shuffle.port,13562,"Default port that the ShuffleHandler will run on. ShuffleHandler
   is a service run at the NodeManager to facilitate transfers of intermediate
   Map outputs to requesting Reducers."
6,dfs.namenode.resource.du.reserved,104857600,"The amount of space to reserve/require for a NameNode storage directory
    in bytes. The default is 100MB. Support multiple size unit
    suffix(case insensitive), as described in dfs.blocksize."
7,yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,10,
8,dfs.storage.policy.satisfier.queue.limit,1000,"Storage policy satisfier queue size. This queue contains the currently
    scheduled file's inode ID for statisfy the policy.
    Default value is 1000."
9,dfs.bytes-per-checksum,512,"The number of bytes per checksum.  Must not be larger than
  dfs.stream-buffer-size"
