,name,value,description
0,yarn.app.attempt.diagnostics.limit.kc,0.2991451,<missing>
1,dfs.namenode.path.based.cache.retry.interval.ms,30000,"When the NameNode needs to uncache something that is cached, or cache
    something that is not cached, it must direct the DataNodes to do so by
    sending a DNA_CACHE or DNA_UNCACHE command in response to a DataNode
    heartbeat.  This parameter controls how frequently the NameNode will
    resend these commands."
2,fs.s3a.connection.establish.timeout,5000,Socket connection setup timeout in milliseconds.
3,tfile.fs.output.buffer.size,262144,Buffer size used for FSDataOutputStream in bytes.
4,fs.s3a.max.total.tasks,32,"The number of operations which can be queued for execution.
  This is in addition to the number of active threads in fs.s3a.threads.max."
5,hadoop.registry.zk.session.timeout.ms,60000,Zookeeper session timeout in milliseconds
6,dfs.http.client.failover.sleep.base.millis,500,"Specify the base amount of time in milliseconds upon which the
    exponentially increased sleep time between retries or failovers
    is calculated for WebHDFS client."
7,yarn.nodemanager.process-kill-wait.ms,5000,
8,yarn.router.interceptor.user.threadpool-size,5,
9,hadoop.security.groups.cache.secs,300,"This is the config controlling the validity of the entries in the cache
    containing the user->group mapping. When this duration has expired,
    then the implementation of the group mapping provider is invoked to get
    the groups of the user and then cached back."
