,name,value,description
0,yarn.resourcemanager.delegation-token-renewer.thread-retry-max-attempts,,
1,ipc.client.rpc-timeout.ms,0,"Timeout on waiting response from server, in milliseconds.
  If ipc.client.ping is set to true and this rpc-timeout is greater than
  the value of ipc.ping.interval, the effective value of the rpc-timeout is
  rounded up to multiple of ipc.ping.interval."
2,dfs.namenode.resource.checked.volumes.minimum,1,The minimum number of redundant NameNode storage volumes required.
3,dfs.namenode.maintenance.replication.min,1,Minimal live block replication in existence of maintenance mode.
4,mapreduce.job.end-notification.max.retry.interval,5000,"The maximum amount of time (in milliseconds) to wait before
     retrying job end notification. Cluster administrators can set this to
     limit how long the Application Master waits before exiting. Must be marked
     as final to prevent users from overriding this."
5,yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,10,
6,yarn.nodemanager.local-cache.max-files-per-directory,8192,
7,hadoop.security.groups.negative-cache.secs,30,"Expiration time for entries in the the negative user-to-group mapping
    caching, in seconds. This is useful when invalid users are retrying
    frequently. It is suggested to set a small value for this expiration, since
    a transient error in group lookup could temporarily lock out a legitimate
    user.

    Set this to zero or negative value to disable negative user-to-group caching."
8,yarn.log-aggregation.debug.filesize,104857600,
9,yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,10485760,
