,name,value,description
0,hadoop.registry.zk.retry.times,,Zookeeper connection retry count before failing
1,dfs.namenode.blocks.per.postponedblocks.rescan,10000,"Number of blocks to rescan for each iteration of
    postponedMisreplicatedBlocks."
2,dfs.datanode.max.transfer.threads,4096,"Specifies the maximum number of threads to use for transferring data
        in and out of the DN."
3,dfs.namenode.fs-limits.max-xattr-size,16384,"The maximum combined size of the name and value of an extended attribute
    in bytes. It should be larger than 0, and less than or equal to maximum
    size hard limit which is 32768.
    Support multiple size unit suffix(case insensitive), as described in
    dfs.blocksize."
4,hadoop.security.kms.client.encrypted.key.cache.size,500,Size of the EncryptedKeyVersion cache Queue for each key
5,yarn.app.attempt.diagnostics.limit.kc,64,
6,yarn.nodemanager.node-attributes.resync-interval-ms,120000,
7,io.bytes.per.checksum,512,"The number of bytes per checksum.  Must not be larger than
  io.file.buffer.size."
8,yarn.nodemanager.container-log-monitor.interval-ms,60000,
9,fs.s3a.socket.send.buffer,8192,Socket send buffer hint to amazon connector. Represented in bytes.
