,name,value,description
0,dfs.namenode.max.full.block.report.leases,,"The maximum number of leases for full block reports that the
    NameNode will issue at any given time.  This prevents the NameNode from
    being flooded with full block reports that use up all the RPC handler
    threads.  This number should never be more than the number of RPC handler
    threads or less than 1."
1,dfs.balancer.moverThreads,1000,"Thread pool size for executing block moves.
    moverThreadAllocator"
2,dfs.namenode.list.encryption.zones.num.responses,100,"When listing encryption zones, the maximum number of zones
    that will be returned in a batch. Fetching the list incrementally in
    batches improves namenode performance."
3,mapreduce.task.exit.timeout.check-interval-ms,20000,"The interval in milliseconds between which the MR framework
  checks if task attempts stay in finishing state for too long."
4,yarn.nodemanager.log.deletion-threads-count,4,
5,fs.permissions.umask-mode,22,"The umask used when creating files and directories.
    Can be in octal or in symbolic. Examples are:
    ""022"" (octal for u=rwx,g=r-x,o=r-x in symbolic),
    or ""u=rwx,g=rwx,o="" (symbolic for 007 in octal)."
6,dfs.datanode.min.outlier.detection.nodes,10,Minimum number of nodes to run outlier detection.
7,yarn.sharedcache.cleaner.period-mins,1440,
8,dfs.client.failover.max.attempts,15,"Expert only. The number of client failover attempts that should be
    made before the failover is considered failed."
9,yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,3600,
