,name,value,description
0,ipc.client.connect.timeout,2065989143,"Indicates the number of milliseconds a client will wait for the
               socket to establish a server connection."
1,ha.failover-controller.graceful-fence.rpc-timeout.ms,5000,Timeout that the FC waits for the old active to go to standby
2,tfile.io.chunk.size,1048576,"Value chunk size in bytes. Default  to
    1MB. Values of the length less than the chunk size is
    guaranteed to have known value length in read time (See also
    TFile.Reader.Scanner.Entry.isValueLengthKnown())."
3,mapreduce.reduce.cpu.vcores,1,"The number of virtual cores to request from the scheduler for
  each reduce task."
4,dfs.mover.max-no-move-interval,60000,"If this specified amount of time has elapsed and no block has been moved
    out of a source DataNode, on more effort will be made to move blocks out of
    this DataNode in the current Mover iteration."
5,dfs.namenode.retrycache.expirytime.millis,600000,The time for which retry cache entries are retained.
6,dfs.datanode.ec.reconstruction.stripedread.timeout.millis,5000,Datanode striped read timeout in milliseconds.
7,yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,10000,
8,dfs.namenode.reencrypt.edek.threads,10,"Maximum number of re-encrypt threads to contact the KMS
    and re-encrypt the edeks."
9,yarn.nodemanager.container-retry-minimum-interval-ms,1000,
