,name,value,description
0,yarn.resourcemanager.fs.state-store.retry-interval-ms,6GHFX,
1,dfs.datanode.handler.count,10,The number of server threads for the datanode.
2,ha.failover-controller.graceful-fence.rpc-timeout.ms,5000,Timeout that the FC waits for the old active to go to standby
3,yarn.client.failover-retries-on-socket-timeouts,0,
4,yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,1000,
5,yarn.app.mapreduce.am.job.committer.commit-window,10000,"Defines a time window in milliseconds for output commit
  operations.  If contact with the RM has occurred within this window then
  commits are allowed, otherwise the AM will not allow output commits until
  contact with the RM has been re-established."
6,yarn.resourcemanager.nodemanager-connect-retries,10,
7,dfs.client.refresh.read-block-locations.ms,0,Refreshing LocatedBlocks period. A value of 0 disables the feature.
8,yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,10000,
9,dfs.namenode.lazypersist.file.scrub.interval.sec,300,"The NameNode periodically scans the namespace for LazyPersist files with
    missing blocks and unlinks them from the namespace. This configuration key
    controls the interval between successive scans. If this value is set to 0,
    the file scrubber is disabled."
