,name,value,description
0,dfs.storage.policy.satisfier.queue.limit,0.26301175,"Storage policy satisfier queue size. This queue contains the currently
    scheduled file's inode ID for statisfy the policy.
    Default value is 1000."
1,yarn.resourcemanager.activities-manager.cleanup-interval-ms,5000,
2,dfs.client.retry.window.base,3000,"Base time window in ms for DFSClient retries.  For each retry attempt,
    this value is extended linearly (e.g. 3000 ms for first attempt and
    first retry, 6000 ms for second retry, 9000 ms for third retry, etc.)."
3,yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,3600,
4,dfs.client.test.drop.namenode.response.number,0,"The number of Namenode responses dropped by DFSClient for each RPC call.  Used
    for testing the NN retry cache."
5,ipc.client.connect.retry.interval,1000,"Indicates the number of milliseconds a client will wait for
    before retrying to establish a server connection."
6,yarn.client.nodemanager-client-async.thread-pool-max-size,500,
7,dfs.datanode.scan.period.hours,504,"If this is positive, the DataNode will not scan any
        individual block more than once in the specified scan period.
        If this is negative, the block scanner is disabled.
        If this is set to zero, then the default value of 504 hours
        or 3 weeks is used. Prior versions of HDFS incorrectly documented
        that setting this key to zero will disable the block scanner."
8,yarn.app.mapreduce.am.container.log.limit.kb,0,"The maximum size of the MRAppMaster attempt container logs in KB.
    0 disables the cap."
9,yarn.am.liveness-monitor.expiry-interval-ms,600000,
