,name,value,description
0,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,0.50061834,"Maximum bandwidth used for transferring image to bootstrap standby
      namenode, in bytes per second.
      A default value of 0 indicates that throttling is disabled. This default
      value should be used in most cases, to ensure timely HA operations.
      The maximum bandwidth used for regular image transfers is configured
      with dfs.image.transfer.bandwidthPerSec.
      Support multiple size unit suffix(case insensitive), as described in
      dfs.blocksize."
1,yarn.nodemanager.recovery.compaction-interval-secs,3600,
2,dfs.datanode.ec.reconstruct.write.bandwidthPerSec,0,"Specifies the maximum amount of bandwidth that the EC reconstruction can utilize for writing.
      When the bandwidth value is zero, there is no limit."
3,yarn.app.mapreduce.am.job.task.listener.thread-count,30,"The number of threads used to handle RPC calls in the
    MR AppMaster from remote tasks"
4,hadoop.security.groups.cache.warn.after.ms,5000,"If looking up a single user to group takes longer than this amount of
    milliseconds, we will log a warning message."
5,yarn.resourcemanager.am.max-attempts,2,
6,yarn.scheduler.minimum-allocation-mb,1024,
7,mapreduce.reduce.shuffle.parallelcopies,5,"The default number of parallel transfers run by reduce
  during the copy(shuffle) phase."
8,yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,300000,
9,mapreduce.job.cache.limit.max-single-resource-mb,0,"The maximum size (in MB) of a single resource a map reduce job
    is allow to submit for localization via files, libjars, archives, and
    jobjar command line arguments and through the distributed cache. If set to
    0 the limit is ignored."
