,name,value,description
0,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs,-0.52532107,
1,dfs.balancer.max-no-move-interval,60000,"If this specified amount of time has elapsed and no block has been moved
    out of a source DataNode, on more effort will be made to move blocks out of
    this DataNode in the current Balancer iteration."
2,yarn.resourcemanager.connect.retry-interval.ms,30000,
3,dfs.namenode.retrycache.expirytime.millis,600000,The time for which retry cache entries are retained.
4,yarn.timeline-service.app-collector.linger-period.ms,60000,
5,yarn.resourcemanager.zk-max-znode-size.bytes,1048576,
6,yarn.sharedcache.store.in-memory.staleness-period-mins,10080,
7,dfs.edit.log.transfer.bandwidthPerSec,0,"Maximum bandwidth used for transferring edit log to between journal nodes
    for syncing, in bytes per second.
    A default value of 0 indicates that throttling is disabled."
8,fs.s3a.connection.establish.timeout,5000,Socket connection setup timeout in milliseconds.
9,dfs.namenode.read-lock-reporting-threshold-ms,5000,"When a read lock is held on the namenode for a long time,
    this will be logged as the lock is released. This sets how long the
    lock must be held for logging to occur."
